Experiment	sample_id	study	project	reference_condition	condition	rep_id	Strain Description	Strain	Culture Type	Evolved Sample	Base Media	Temperature (C)	pH	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic for selection	Growth_Phase	Growth Rate (1/hr)	Isolate Type	Additional Details	Sequencing Machine	LibraryLayout	Platform	Biological Replicates	doi	GEO	SRX	Run	R1	R2	contact	creator	passed_fastqc	passed_pct_reads_mapped	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_similar_replicates	passed_number_replicates	run_date	n_replicates	PxK_sample_type	deleted_genes	mutated_genes	overexpressed_genes
pcoli2_c_empty_F2_B2	c_empty_F2_B2	pColi2	pcoli2		c_emptyplasmid_B2	2	MG1655 SDT507(gly2 rhaBADM KO) pSD122	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	rhamnose(0.1)	Ampicillin(50)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT549-002-F2-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT549-002-F2-Main-SEQ_R2.fastq.gz							pcoli2:c_emptyplasmid_B2			6/15/2022		genetic_perturbation			
pcoli2_EGFP_F2_B2	EGFP_F2_B2	pColi2	pcoli2		EGFP	2	MG1655 SDT507(gly2 rhaBADM KO) pSD174	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	rhamnose(0.1)	Ampicillin(50)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT695-001-F2-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT695-001-F2-Main-SEQ_R2.fastq.gz							pcoli2:EGFP			6/15/2022		genetic_perturbation			
pcoli2_EGFP-BLG_F2_B2	EGFP-BLG_F2_B2	pColi2	pcoli2		EGFP-BLG	2	MG1655 SDT507(gly2 rhaBADM KO) pSD178	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	rhamnose(0.1)	Ampicillin(50)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT698-001-F2-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT698-001-F2-Main-SEQ_R2.fastq.gz							pcoli2:EGFP-BLG			6/15/2022		genetic_perturbation			
pcoli2_EGFP-ALA_F2_B2	EGFP-ALA_F2_B2	pColi2	pcoli2		EGFP-ALA	2	MG1655 SDT507(gly2 rhaBADM KO) pSD180	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	rhamnose(0.1)	Ampicillin(50)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT700-001-F2-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT700-001-F2-Main-SEQ_R2.fastq.gz							pcoli2:EGFP-ALA			6/15/2022		genetic_perturbation			
pcoli2_c_empty_late_F2_B2	c_empty_late_F2_B2	pColi2	pcoli2		c_emptyplasmid_induced+1hr_B2	2	MG1655 SDT507(gly2 rhaBADM KO) pSD122	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	rhamnose(0.1)	Ampicillin(50)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT549-002-F2-3HR-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT549-002-F2-3HR-Main-SEQ_R2.fastq.gz							pcoli2:c_emptyplasmid_induced+1hr_B2			6/15/2022		genetic_perturbation			
pcoli2_EGFP-BLG_late_F2_B2	EGFP-BLG_late_F2_B2	pColi2	pcoli2		EGFP-BLG_induced+1hr	2	MG1655 SDT507(gly2 rhaBADM KO) pSD178	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	rhamnose(0.1)	Ampicillin(50)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT698-001-F2-3HR-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT698-001-F2-3HR-Main-SEQ_R2.fastq.gz							pcoli2:EGFP-BLG_induced+1hr			6/15/2022		genetic_perturbation			
pcoli2_T7_BLG_F1_B2	T7_BLG_F1_B2	pColi2	pcoli2		T7_BLG	1	MG1655 SDT507(gly2 rhaBADM KO) pSD78 pSD206	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	IPTG(0.1)	Ampicillin(50), Chloramphenicol(12.5)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT839-001-F1-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT839-001-F1-Main-SEQ_R2.fastq.gz							pcoli2:T7_BLG			6/15/2022		genetic_perturbation			
pcoli2_c_T7_empty_F1_B2	c_T7_empty_F1_B2	pColi2	pcoli2		c_T7_emptyplasmid_B2	1	MG1655 SDT507(gly2 rhaBADM KO) pSD78 pSD208	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	IPTG(0.1)	Ampicillin(50), Chloramphenicol(12.5)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT841-001-F1-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT841-001-F1-Main-SEQ_R2.fastq.gz							pcoli2:c_T7_emptyplasmid_B2			6/15/2022		genetic_perturbation			
pcoli2_T7_BLG_F2_B2	T7_BLG_F2_B2	pColi2	pcoli2		T7_BLG	2	MG1655 SDT507(gly2 rhaBADM KO) pSD78 pSD206	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	IPTG(0.1)	Ampicillin(50), Chloramphenicol(12.5)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT839-001-F2-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT839-001-F2-Main-SEQ_R2.fastq.gz							pcoli2:T7_BLG			6/15/2022		genetic_perturbation			
pcoli2_c_T7_empty_F2_B2	c_T7_empty_F2_B2	pColi2	pcoli2		c_T7_emptyplasmid_B2	2	MG1655 SDT507(gly2 rhaBADM KO) pSD78 pSD208	MG1655	Batch		M9 gly +Fe	37	7	glycerol(2)	NH4Cl(1)	O2	DDB_TM_002	IPTG(0.1)	Ampicillin(50), Chloramphenicol(12.5)						PAIRED	ILLUMINA	2					s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT841-001-F2-Main-SEQ_R1.fastq.gz	s3://sbrg-user-data/hbajpe/PRECISE_xK/DTU_data_2024/SDT-Screen-2-SDT841-001-F2-Main-SEQ_R2.fastq.gz							pcoli2:c_T7_emptyplasmid_B2			6/15/2022		genetic_perturbation			
